,Teams,CoollePDFConverter,Skype,EXCEL,chrome,SearchApp,firefox,Ssms,msedge,ApplicationFrameHost,OUTLOOK,ShellExperienceHost,ONENOTE,explorer,OneDrive,PBIDesktop
Teams,0.6153846153846154,0.4696132596685083,0.6037735849056604,0.717607973421927,0.5062344139650873,0.7100175746924429,0.6212121212121212,0.503968253968254,0.5095541401273885,0.7100175746924429,0.5233463035019454,0.5,0.6012759170653907,0.5222929936305732,0.5333333333333333,0.47565543071161054
CoollePDFConverter,0.5769230769230769,0.421731123388582,0.5956873315363882,0.7464008859357696,0.5685785536159601,0.7135325131810193,0.7474747474747474,0.5198412698412698,0.6560509554140128,0.7135325131810193,0.6556420233463035,0.5,0.6826156299840511,1.0,0.7,0.4943820224719101
Skype,0.5,0.6408839779005524,0.5336927223719676,0.7220376522702103,0.6533665835411471,0.7135325131810193,0.7474747474747474,0.7658730158730158,0.6560509554140128,0.7135325131810193,0.5272373540856031,0.5,0.6842105263157895,0.6687898089171975,0.7,0.6928838951310862
EXCEL,0.4487179487179487,0.5782688766114181,0.5067385444743935,0.539313399778516,0.6533665835411471,0.4692442882249561,0.5757575757575757,0.5912698412698413,0.4968152866242038,0.4692442882249561,0.5603112840466926,0.5,0.507177033492823,0.60828025477707,0.5166666666666666,0.6928838951310862
chrome,0.6153846153846154,0.4696132596685083,0.6037735849056604,0.717607973421927,0.5062344139650873,0.7100175746924429,0.6212121212121212,0.503968253968254,0.5095541401273885,0.7100175746924429,0.5233463035019454,0.5,0.6012759170653907,0.5222929936305732,0.5333333333333333,0.47565543071161054
SearchApp,0.47435897435897434,0.6574585635359116,0.5471698113207547,0.8981173864894795,0.7157107231920199,0.625659050966608,0.7171717171717171,0.5912698412698413,0.6433121019108281,0.625659050966608,0.5214007782101167,0.5,0.5629984051036683,0.6751592356687899,0.6,0.6928838951310862
firefox,0.5769230769230769,0.6482504604051565,0.42587601078167114,0.6777408637873754,0.6608478802992519,0.8892794376098418,0.5252525252525253,0.7658730158730158,0.6560509554140128,0.8892794376098418,0.6536964980544747,0.5,0.4609250398724083,0.6656050955414012,0.7,0.6928838951310862
Ssms,0.6153846153846154,0.45488029465930013,0.477088948787062,0.5171650055370985,0.5561097256857855,0.5887521968365554,0.5656565656565656,0.5634920634920635,0.445859872611465,0.5887521968365554,0.4980544747081712,0.5,0.467304625199362,0.535031847133758,0.525,0.4382022471910112
msedge,0.4487179487179487,0.5930018416206262,0.7088948787061995,0.8073089700996677,0.7805486284289277,0.7855887521968365,0.5656565656565656,0.8690476190476191,0.8152866242038217,0.7855887521968365,0.44163424124513617,0.44999999999999996,0.6092503987240829,0.7388535031847134,0.5166666666666666,0.6853932584269663
ApplicationFrameHost,0.5769230769230769,0.6390423572744015,0.9811320754716981,0.6766334440753046,0.6508728179551122,0.5465729349736379,0.7474747474747474,0.7619047619047619,0.6560509554140128,0.5465729349736379,0.6634241245136187,1.0,0.4752791068580542,0.6624203821656052,0.7,0.696629213483146
OUTLOOK,0.46153846153846156,0.5082872928176796,0.5956873315363882,0.7574750830564784,0.5860349127182045,0.7223198594024605,0.6515151515151515,0.5079365079365079,0.5222929936305732,0.7223198594024605,0.4727626459143969,0.5,0.6363636363636364,0.5222929936305732,0.55,0.4831460674157303
ShellExperienceHost,0.4487179487179487,0.5377532228360957,0.42587601078167114,0.6212624584717608,0.658354114713217,0.4411247803163445,0.6919191919191919,0.7658730158730158,0.43312101910828027,0.4411247803163445,0.4961089494163424,0.95,0.9154704944178629,0.6656050955414012,0.45833333333333337,0.5655430711610487
ONENOTE,0.5769230769230769,0.5340699815837937,0.5902964959568733,0.8416389811738649,0.5910224438902743,0.7223198594024605,0.7474747474747474,0.5119047619047619,0.6560509554140128,0.7223198594024605,0.6536964980544747,0.5,0.5582137161084529,0.535031847133758,0.7,0.48689138576779023
explorer,0.46153846153846156,0.5948434622467771,0.7088948787061995,0.8084163898117387,0.7805486284289277,0.7855887521968365,0.5707070707070707,0.8690476190476191,0.821656050955414,0.7855887521968365,0.4552529182879378,0.44999999999999996,0.6108452950558214,0.7388535031847134,0.9583333333333334,0.6891385767790262
OneDrive,0.47435897435897434,0.6666666666666667,0.8571428571428572,0.7153931339977851,0.8603491271820449,0.4674868189806678,0.5909090909090908,0.7023809523809523,0.5605095541401274,0.4674868189806678,0.6342412451361867,0.75,0.5566188197767146,0.7484076433121019,0.5,0.6891385767790262
PBIDesktop,0.46153846153846156,0.4935543278084714,0.5956873315363882,0.7574750830564784,0.47132169576059846,0.7152899824253076,0.5707070707070707,0.4722222222222222,0.49044585987261147,0.7152899824253076,0.5252918287937743,0.5,0.5614035087719298,0.5159235668789809,0.5333333333333333,0.6067415730337078
